d3mIndex,bounding_box,confidence
134,"1286,1934,1286,2102,1448,2102,1448,1934",0.9614
134,"1349,1765,1349,1927,1510,1927,1510,1765",0.9560
134,"1476,574,1476,774,1673,774,1673,574",0.9432
134,"1257,531,1257,718,1423,718,1423,531",0.9410
134,"1265,794,1265,985,1466,985,1466,794",0.9399
134,"1538,2150,1538,2350,1742,2350,1742,2150",0.9375
134,"1315,1210,1315,1416,1507,1416,1507,1210",0.9289
134,"0,2212,0,2430,227,2430,227,2212",0.9121
134,"1722,862,1722,996,2069,996,2069,862",0.8933
134,"2205,2137,2205,2284,2447,2284,2447,2137",0.8871
134,"1243,2243,1243,2423,1470,2423,1470,2243",0.8686
134,"956,1203,956,1342,1150,1342,1150,1203",0.8633
134,"948,2185,948,2344,1172,2344,1172,2185",0.7765
134,"14,2481,14,2671,225,2671,225,2481",0.6843
134,"0,2789,0,2989,2471,2989,2471,2789",0.5822
134,"1498,1421,1498,1517,1590,1517,1590,1421",0.5705
134,"1874,453,1874,605,2188,605,2188,453",0.5555
134,"886,1930,886,2063,1140,2063,1140,1930",0.5165
135,"1114,1863,1114,1985,1209,1985,1209,1863",0.9593
135,"1235,2043,1235,2178,1350,2178,1350,2043",0.9503
135,"1110,97,1110,246,1239,246,1239,97",0.9332
135,"1034,2019,1034,2149,1146,2149,1146,2019",0.8596
135,"1127,411,1127,529,1254,529,1254,411",0.8528
135,"1014,2315,1014,2460,1171,2460,1171,2315",0.6788
135,"1125,330,1125,485,1260,485,1260,330",0.6484
135,"0,2428,0,2598,1367,2598,1367,2428",0.6091
135,"1178,2468,1178,2647,1350,2647,1350,2468",0.5811
135,"2386,276,2386,415,2461,415,2461,276",0.5144
136,"253,1908,253,2162,506,2162,506,1908",0.9921
136,"1329,248,1329,472,1560,472,1560,248",0.9869
136,"132,1687,132,1921,343,1921,343,1687",0.9823
136,"38,1350,38,1575,312,1575,312,1350",0.9778
136,"1769,626,1769,820,1957,820,1957,626",0.9774
136,"2058,1286,2058,1450,2353,1450,2353,1286",0.9766
136,"1855,899,1855,1150,2017,1150,2017,899",0.9764
136,"209,158,209,451,417,451,417,158",0.9749
136,"1624,344,1624,555,1842,555,1842,344",0.9718
136,"1918,79,1918,317,2128,317,2128,79",0.9693
136,"489,947,489,1248,755,1248,755,947",0.9673
136,"1622,75,1622,291,1811,291,1811,75",0.9661
136,"1734,1947,1734,2173,1935,2173,1935,1947",0.9644
136,"1884,2172,1884,2440,2124,2440,2124,2172",0.9580
136,"265,747,265,908,441,908,441,747",0.9547
136,"2105,2015,2105,2178,2373,2178,2373,2015",0.9514
136,"2079,1822,2079,2000,2275,2000,2275,1822",0.9457
136,"0,1061,0,1278,145,1278,145,1061",0.9362
136,"2085,5,2085,188,2361,188,2361,5",0.9062
136,"1626,1525,1626,1936,1869,1936,1869,1525",0.8981
136,"453,2237,453,2504,638,2504,638,2237",0.8909
136,"0,2310,0,2545,256,2545,256,2310",0.8235
136,"2068,2809,2068,2998,2402,2998,2402,2809",0.7524
136,"2,724,2,938,105,938,105,724",0.7504
136,"8,2472,8,2642,267,2642,267,2472",0.6841
136,"1815,2443,1815,2633,2025,2633,2025,2443",0.6738
137,"709,1362,709,1715,1067,1715,1067,1362",0.9648
137,"0,213,0,504,207,504,207,213",0.9545
137,"438,474,438,869,775,869,775,474",0.9399
137,"1729,314,1729,672,2191,672,2191,314",0.9092
137,"982,1829,982,2389,1406,2389,1406,1829",0.7943
137,"986,533,986,1404,1502,1404,1502,533",0.7932
137,"1025,2161,1025,2541,1455,2541,1455,2161",0.6368
139,"1723,1844,1723,2180,2033,2180,2033,1844",0.9673
139,"388,950,388,1300,716,1300,716,950",0.9497
139,"1578,1327,1578,1662,1972,1662,1972,1327",0.9103
139,"1471,936,1471,1142,1684,1142,1684,936",0.9035
139,"750,1304,750,1543,881,1543,881,1304",0.8985
139,"247,3,247,96,397,96,397,3",0.8684
139,"1814,2220,1814,2503,2113,2503,2113,2220",0.6333
139,"342,1748,342,1941,547,1941,547,1748",0.6129
139,"1518,2439,1518,2585,2471,2585,2471,2439",0.5786
139,"2398,2337,2398,2432,2466,2432,2466,2337",0.5757
139,"2014,2693,2014,2895,2276,2895,2276,2693",0.5551
152,"630,2231,630,2510,863,2510,863,2231",0.9870
152,"944,1176,944,1427,1190,1427,1190,1176",0.9844
152,"1031,184,1031,351,1196,351,1196,184",0.9754
152,"850,950,850,1187,1049,1187,1049,950",0.9642
152,"653,542,653,824,861,824,861,542",0.9591
152,"800,1556,800,1845,1045,1845,1045,1556",0.9558
152,"2278,1063,2278,1197,2373,1197,2373,1063",0.9285
152,"345,624,345,788,512,788,512,624",0.9284
152,"441,1940,441,2200,786,2200,786,1940",0.9144
152,"2232,1337,2232,1479,2355,1479,2355,1337",0.9078
152,"650,111,650,357,831,357,831,111",0.9074
152,"2386,1652,2386,1804,2471,1804,2471,1652",0.8594
152,"831,2737,831,3051,1106,3051,1106,2737",0.7788
152,"2359,2145,2359,2377,2458,2377,2458,2145",0.7526
152,"895,551,895,769,1087,769,1087,551",0.7213
152,"201,1420,201,1595,473,1595,473,1420",0.6514
152,"2377,2828,2377,3161,2470,3161,2470,2828",0.6207
152,"2375,1391,2375,1554,2451,1554,2451,1391",0.6170
152,"2401,1968,2401,2133,2465,2133,2465,1968",0.5909
152,"615,2030,615,2223,853,2223,853,2030",0.5905
152,"952,3032,952,3244,1179,3244,1179,3032",0.5678
153,"1505,636,1505,863,1696,863,1696,636",0.9724
153,"1866,762,1866,956,2092,956,2092,762",0.9716
153,"1528,1645,1528,1914,1710,1914,1710,1645",0.9711
153,"22,1334,22,1511,175,1511,175,1334",0.9622
153,"1233,377,1233,571,1449,571,1449,377",0.9608
153,"1748,193,1748,395,1938,395,1938,193",0.9438
153,"1003,2217,1003,2517,1286,2517,1286,2217",0.9431
153,"1837,2276,1837,2510,2072,2510,2072,2276",0.9429
153,"13,1519,13,1656,142,1656,142,1519",0.9427
153,"2077,1780,2077,1979,2341,1979,2341,1780",0.9410
153,"1564,1034,1564,1192,1698,1192,1698,1034",0.9403
153,"344,1716,344,1844,463,1844,463,1716",0.9381
153,"265,86,265,304,438,304,438,86",0.9284
153,"1638,2040,1638,2252,1945,2252,1945,2040",0.9196
153,"1500,1970,1500,2093,1668,2093,1668,1970",0.9144
153,"1325,1524,1325,1662,1454,1662,1454,1524",0.9144
153,"11,1154,11,1308,150,1308,150,1154",0.9103
153,"65,552,65,876,292,876,292,552",0.9091
153,"4,2006,4,2117,87,2117,87,2006",0.9036
153,"1332,1833,1332,1989,1503,1989,1503,1833",0.9002
153,"235,2001,235,2192,432,2192,432,2001",0.8921
153,"1492,1388,1492,1537,1639,1537,1639,1388",0.8870
153,"25,261,25,409,142,409,142,261",0.8793
153,"1,933,1,1129,162,1129,162,933",0.8745
153,"1679,1326,1679,1498,1838,1498,1838,1326",0.8582
153,"1537,81,1537,251,1674,251,1674,81",0.8226
153,"1,17,1,153,105,153,105,17",0.8107
153,"276,2336,276,2488,444,2488,444,2336",0.7992
153,"2027,46,2027,194,2252,194,2252,46",0.7763
153,"1238,2744,1238,2927,1422,2927,1422,2744",0.7126
153,"1328,2371,1328,2540,1486,2540,1486,2371",0.7048
153,"196,2630,196,2836,384,2836,384,2630",0.6872
153,"1954,1138,1954,1309,2136,1309,2136,1138",0.6253
153,"1507,2780,1507,3041,1702,3041,1702,2780",0.5780
155,"494,1492,494,1633,653,1633,653,1492",0.9529
155,"234,1784,234,1917,434,1917,434,1784",0.9518
155,"2128,313,2128,759,2455,759,2455,313",0.9401
155,"2310,952,2310,1244,2460,1244,2460,952",0.9398
155,"207,1027,207,1145,430,1145,430,1027",0.9325
155,"632,257,632,457,758,457,758,257",0.9295
155,"1046,1325,1046,1553,1212,1553,1212,1325",0.9165
155,"551,903,551,1078,791,1078,791,903",0.8990
155,"840,1253,840,1391,986,1391,986,1253",0.8907
155,"869,2305,869,2462,980,2462,980,2305",0.8863
155,"747,2280,747,2421,867,2421,867,2280",0.8854
155,"2096,1615,2096,1778,2247,1778,2247,1615",0.8702
155,"975,383,975,515,1168,515,1168,383",0.8529
155,"654,1847,654,2027,815,2027,815,1847",0.8339
155,"2351,1833,2351,2116,2457,2116,2457,1833",0.7701
155,"28,5,28,87,187,87,187,5",0.6460
155,"111,2671,111,2734,296,2734,296,2671",0.5346
155,"36,519,36,636,255,636,255,519",0.5313
159,"1181,1341,1181,1632,1487,1632,1487,1341",0.9829
159,"2025,1277,2025,1561,2281,1561,2281,1277",0.9800
159,"857,1759,857,2025,1157,2025,1157,1759",0.9770
159,"2006,147,2006,422,2252,422,2252,147",0.9673
159,"316,529,316,782,571,782,571,529",0.9660
159,"178,842,178,1100,474,1100,474,842",0.9578
159,"318,1471,318,1743,515,1743,515,1471",0.9573
159,"497,0,497,282,746,282,746,0",0.9548
159,"779,118,779,321,944,321,944,118",0.9497
159,"1260,867,1260,1115,1604,1115,1604,867",0.9483
159,"2206,562,2206,845,2451,845,2451,562",0.9422
159,"860,970,860,1165,1019,1165,1019,970",0.9381
159,"784,1357,784,1625,1004,1625,1004,1357",0.9259
159,"1022,2110,1022,2338,1290,2338,1290,2110",0.9121
159,"1936,2133,1936,2376,2212,2376,2212,2133",0.9111
159,"2265,873,2265,1111,2458,1111,2458,873",0.8798
159,"2237,4,2237,104,2450,104,2450,4",0.8699
159,"0,7,0,184,272,184,272,7",0.8688
159,"487,1147,487,1489,806,1489,806,1147",0.8591
159,"821,548,821,867,1268,867,1268,548",0.8266
159,"677,2115,677,2391,959,2391,959,2115",0.7557
159,"2358,105,2358,296,2470,296,2470,105",0.7284
159,"8,2251,8,2653,491,2653,491,2251",0.6869
159,"2248,2010,2248,2329,2465,2329,2465,2010",0.6741
159,"1121,1,1121,97,1250,97,1250,1",0.6253
160,"1454,879,1454,1249,1823,1249,1823,879",0.9412
160,"1803,1262,1803,1411,2044,1411,2044,1262",0.9239
160,"2202,667,2202,974,2449,974,2449,667",0.9091
160,"1238,1667,1238,2052,1616,2052,1616,1667",0.8750
160,"450,388,450,765,906,765,906,388",0.8687
160,"1246,12,1246,327,1586,327,1586,12",0.8684
160,"1433,2042,1433,2330,1699,2330,1699,2042",0.8139
160,"2322,0,2322,293,2463,293,2463,0",0.7785
160,"212,1178,212,1538,876,1538,876,1178",0.7763
160,"528,1474,528,2026,1210,2026,1210,1474",0.7474
160,"911,71,911,504,1342,504,1342,71",0.7008
160,"684,587,684,1155,1345,1155,1345,587",0.6895
160,"2136,2252,2136,2498,2471,2498,2471,2252",0.6859
160,"690,2118,690,2507,1238,2507,1238,2118",0.6390
160,"1160,540,1160,799,1403,799,1403,540",0.6388
160,"676,1078,676,1546,1400,1546,1400,1078",0.5857
160,"1399,2593,1399,2756,1608,2756,1608,2593",0.5375
160,"2214,2309,2214,2673,2464,2673,2464,2309",0.5042
162,"1243,1256,1243,1419,1407,1419,1407,1256",0.9790
162,"1424,1652,1424,1800,1577,1800,1577,1652",0.9682
162,"2014,1065,2014,1195,2257,1195,2257,1065",0.9632
162,"1468,186,1468,338,1582,338,1582,186",0.9552
162,"99,1002,99,1335,273,1335,273,1002",0.9549
162,"2052,78,2052,231,2356,231,2356,78",0.9539
162,"53,89,53,377,208,377,208,89",0.9500
162,"1753,2094,1753,2278,1970,2278,1970,2094",0.9489
162,"1596,948,1596,1162,1790,1162,1790,948",0.9453
162,"1468,2119,1468,2298,1619,2298,1619,2119",0.9400
162,"0,1782,0,1947,103,1947,103,1782",0.9341
162,"1520,342,1520,473,1625,473,1625,342",0.9308
162,"1603,450,1603,647,1799,647,1799,450",0.9143
162,"1675,1603,1675,1836,1853,1836,1853,1603",0.9133
162,"1085,1732,1085,1829,1300,1829,1300,1732",0.9027
162,"1823,1302,1823,1460,2128,1460,2128,1302",0.9005
162,"17,2140,17,2388,191,2388,191,2140",0.8892
162,"272,59,272,304,390,304,390,59",0.8675
162,"1639,736,1639,967,1751,967,1751,736",0.8392
162,"0,357,0,466,94,466,94,357",0.7889
162,"1713,7,1713,152,1842,152,1842,7",0.7770
162,"2042,2513,2042,2669,2358,2669,2358,2513",0.7445
162,"1379,2365,1379,2542,1580,2542,1580,2365",0.7248
162,"1157,2495,1157,2678,1410,2678,1410,2495",0.6364
162,"6,774,6,932,86,932,86,774",0.6251
166,"1689,1919,1689,2065,1821,2065,1821,1919",0.9623
166,"270,558,270,691,403,691,403,558",0.9611
166,"1577,704,1577,848,1704,848,1704,704",0.9599
166,"1625,1023,1625,1165,1741,1165,1741,1023",0.9564
166,"61,814,61,1060,277,1060,277,814",0.9496
166,"1844,1987,1844,2124,1979,2124,1979,1987",0.9494
166,"506,260,506,448,653,448,653,260",0.9465
166,"46,242,46,426,193,426,193,242",0.9463
166,"1672,1705,1672,1810,1780,1810,1780,1705",0.9439
166,"1851,337,1851,501,1990,501,1990,337",0.9385
166,"217,1917,217,2055,333,2055,333,1917",0.9371
166,"1787,65,1787,196,1914,196,1914,65",0.9345
166,"1467,2027,1467,2213,1588,2213,1588,2027",0.9304
166,"1613,1367,1613,1480,1730,1480,1730,1367",0.9262
166,"5,1904,5,2042,166,2042,166,1904",0.9241
166,"1404,257,1404,445,1601,445,1601,257",0.9231
166,"174,2118,174,2224,311,2224,311,2118",0.9208
166,"43,1198,43,1348,222,1348,222,1198",0.9178
166,"1656,380,1656,513,1781,513,1781,380",0.9169
166,"462,822,462,933,593,933,593,822",0.9154
166,"212,1665,212,1804,344,1804,344,1665",0.9154
166,"268,21,268,201,387,201,387,21",0.9153
166,"1609,2057,1609,2210,1729,2210,1729,2057",0.9139
166,"1625,12,1625,179,1759,179,1759,12",0.9018
166,"1409,1469,1409,1616,1538,1616,1538,1469",0.8884
166,"220,386,220,511,358,511,358,386",0.8859
166,"137,1368,137,1491,390,1491,390,1368",0.8652
166,"344,2245,344,2346,449,2346,449,2245",0.8573
166,"1829,831,1829,927,1923,927,1923,831",0.8395
166,"412,1049,412,1214,548,1214,548,1049",0.8393
166,"465,2146,465,2302,586,2302,586,2146",0.8366
166,"0,1587,0,1726,94,1726,94,1587",0.8282
166,"12,2052,12,2186,130,2186,130,2052",0.8183
166,"229,2389,229,2496,367,2496,367,2389",0.7267
166,"1618,577,1618,671,1713,671,1713,577",0.6801
166,"1473,1629,1473,1740,1607,1740,1607,1629",0.6707
166,"1879,2526,1879,2644,2033,2644,2033,2526",0.6596
166,"1855,1654,1855,1781,1995,1781,1995,1654",0.6281
166,"263,804,263,893,350,893,350,804",0.5648
166,"1832,1242,1832,1361,1927,1361,1927,1242",0.5589
166,"11,3061,11,3204,227,3204,227,3061",0.5470
168,"222,1358,222,1584,444,1584,444,1358",0.9744
168,"1234,1516,1234,1721,1474,1721,1474,1516",0.9743
168,"176,1637,176,1894,446,1894,446,1637",0.9533
168,"421,1,421,168,622,168,622,1",0.9486
168,"1974,1066,1974,1401,2330,1401,2330,1066",0.9441
168,"648,888,648,1165,994,1165,994,888",0.9157
168,"1358,2169,1358,2490,1652,2490,1652,2169",0.8830
168,"107,2267,107,2511,347,2511,347,2267",0.8688
168,"1500,1741,1500,2014,1777,2014,1777,1741",0.8624
168,"1594,322,1594,658,1796,658,1796,322",0.8585
168,"1978,2180,1978,2407,2294,2407,2294,2180",0.7647
168,"458,561,458,912,817,912,817,561",0.6176
168,"1609,1704,1609,1941,1840,1941,1840,1704",0.6051
168,"2003,6,2003,133,2306,133,2306,6",0.5473
173,"1140,1019,1140,1209,1352,1209,1352,1019",0.9823
173,"2157,1086,2157,1294,2417,1294,2417,1086",0.9761
173,"1605,2095,1605,2320,1832,2320,1832,2095",0.9669
173,"1500,445,1500,650,1651,650,1651,445",0.9615
173,"1571,125,1571,266,1688,266,1688,125",0.9505
173,"1519,791,1519,950,1673,950,1673,791",0.9443
173,"1625,1399,1625,1609,1877,1609,1877,1399",0.9169
173,"259,1612,259,1732,360,1732,360,1612",0.9074
173,"1674,190,1674,386,1853,386,1853,190",0.9048
173,"1633,1846,1633,1987,1756,1987,1756,1846",0.8937
173,"335,936,335,1075,447,1075,447,936",0.8885
173,"67,200,67,404,224,404,224,200",0.8846
173,"80,1957,80,2147,271,2147,271,1957",0.8272
173,"385,471,385,585,478,585,478,471",0.8232
173,"1737,1653,1737,1731,1838,1731,1838,1653",0.8185
173,"3,1622,3,1745,148,1745,148,1622",0.7840
173,"1,625,1,754,124,754,124,625",0.7197
173,"79,1233,79,1333,198,1333,198,1233",0.6506
173,"1881,754,1881,852,1988,852,1988,754",0.5979
173,"52,2546,52,2699,147,2699,147,2546",0.5162
178,"1461,476,1461,611,1596,611,1596,476",0.9770
178,"1748,1792,1748,1936,1925,1936,1925,1792",0.9672
178,"1721,57,1721,343,1903,343,1903,57",0.9638
178,"0,240,0,421,144,421,144,240",0.9633
178,"1293,785,1293,920,1474,920,1474,785",0.9610
178,"175,2063,175,2200,326,2200,326,2063",0.9609
178,"1224,1323,1224,1608,1526,1608,1526,1323",0.9516
178,"3,1187,3,1360,154,1360,154,1187",0.9373
178,"1915,1055,1915,1217,2156,1217,2156,1055",0.9307
178,"1613,639,1613,772,1722,772,1722,639",0.9235
178,"1378,2052,1378,2299,1631,2299,1631,2052",0.9229
178,"2180,1910,2180,2119,2456,2119,2456,1910",0.9217
178,"5,0,5,139,140,139,140,0",0.9095
178,"1846,2215,1846,2438,2099,2438,2099,2215",0.8841
178,"1686,526,1686,686,1828,686,1828,526",0.8784
178,"1511,990,1511,1179,1672,1179,1672,990",0.8586
178,"1587,299,1587,433,1691,433,1691,299",0.8354
178,"1645,1721,1645,1855,1760,1855,1760,1721",0.7926
178,"0,893,0,1163,168,1163,168,893",0.6920
178,"0,1522,0,1832,154,1832,154,1522",0.6816
178,"8,2216,8,2575,212,2575,212,2216",0.5817
178,"1643,2467,1643,2633,1789,2633,1789,2467",0.5147
178,"1150,2410,1150,2481,1659,2481,1659,2410",0.5005
179,"2190,618,2190,798,2399,798,2399,618",0.9553
179,"1966,1941,1966,2163,2163,2163,2163,1941",0.9298
179,"73,356,73,488,326,488,326,356",0.9275
179,"2360,1478,2360,1615,2465,1615,2465,1478",0.9197
179,"2104,2235,2104,2428,2305,2428,2305,2235",0.9177
179,"2227,2059,2227,2178,2352,2178,2352,2059",0.9160
179,"2360,1713,2360,1844,2464,1844,2464,1713",0.8438
179,"2081,730,2081,890,2274,890,2274,730",0.8301
179,"1301,1612,1301,1730,1458,1730,1458,1612",0.8053
179,"897,1368,897,1467,967,1467,967,1368",0.7923
179,"499,678,499,995,864,995,864,678",0.6951
179,"19,2367,19,2514,255,2514,255,2367",0.6750
179,"651,1769,651,1984,914,1984,914,1769",0.6460
179,"480,2111,480,2386,745,2386,745,2111",0.6385
179,"823,2292,823,2435,931,2435,931,2292",0.5653
179,"0,7,0,84,74,84,74,7",0.5641
179,"322,2051,322,2453,848,2453,848,2051",0.5340
180,"2017,166,2017,281,2127,281,2127,166",0.9248
180,"1882,1361,1882,1477,1997,1477,1997,1361",0.9060
180,"129,2142,129,2255,253,2255,253,2142",0.8957
180,"183,1798,183,1915,303,1915,303,1798",0.8912
180,"210,1978,210,2088,324,2088,324,1978",0.8774
180,"1941,754,1941,859,2038,859,2038,754",0.8681
180,"1009,2152,1009,2252,1111,2252,1111,2152",0.8595
180,"1015,1981,1015,2143,1179,2143,1179,1981",0.8496
180,"2131,1591,2131,1724,2269,1724,2269,1591",0.8343
180,"127,1222,127,1376,281,1376,281,1222",0.8153
180,"2120,1829,2120,1916,2212,1916,2212,1829",0.8096
180,"1876,382,1876,520,1998,520,1998,382",0.8041
180,"1122,1712,1122,1816,1236,1816,1236,1712",0.8026
180,"229,209,229,313,328,313,328,209",0.8024
180,"1009,1424,1009,1519,1107,1519,1107,1424",0.8019
180,"2193,1308,2193,1391,2278,1391,2278,1308",0.7985
180,"2107,453,2107,624,2286,624,2286,453",0.7932
180,"2141,862,2141,961,2240,961,2240,862",0.7869
180,"2259,58,2259,143,2341,143,2341,58",0.7858
180,"2159,1006,2159,1119,2282,1119,2282,1006",0.7817
180,"1998,1216,1998,1294,2093,1294,2093,1216",0.7648
180,"107,1740,107,1817,179,1817,179,1740",0.7565
180,"1952,2060,1952,2143,2030,2143,2030,2060",0.7489
180,"1784,1108,1784,1205,1870,1205,1870,1108",0.7402
180,"187,845,187,958,281,958,281,845",0.6991
180,"1861,129,1861,203,1931,203,1931,129",0.6941
180,"1930,1825,1930,1916,2031,1916,2031,1825",0.6708
180,"2053,707,2053,796,2138,796,2138,707",0.6385
180,"1917,2367,1917,2466,2009,2466,2009,2367",0.6112
180,"2216,2691,2216,2803,2335,2803,2335,2691",0.6064
180,"2223,1501,2223,1596,2318,1596,2318,1501",0.6036
180,"394,938,394,1027,491,1027,491,938",0.5904
180,"1832,796,1832,864,1896,864,1896,796",0.5781
180,"271,687,271,775,362,775,362,687",0.5511
180,"1684,1500,1684,1597,1763,1597,1763,1500",0.5208
181,"268,1755,268,1872,382,1872,382,1755",0.9528
181,"1208,2069,1208,2193,1337,2193,1337,2069",0.9420
181,"2062,1971,2062,2128,2213,2128,2213,1971",0.9365
181,"1045,2153,1045,2323,1223,2323,1223,2153",0.9220
181,"1126,1898,1126,2048,1285,2048,1285,1898",0.9217
181,"221,2229,221,2426,426,2426,426,2229",0.9160
181,"1275,1794,1275,1923,1411,1923,1411,1794",0.9150
181,"1277,1667,1277,1797,1416,1797,1416,1667",0.9110
181,"2043,832,2043,971,2180,971,2180,832",0.9110
181,"2087,678,2087,807,2216,807,2216,678",0.9073
181,"2106,212,2106,333,2230,333,2230,212",0.9072
181,"1097,2779,1097,2986,1312,2986,1312,2779",0.9009
181,"2055,1787,2055,1933,2196,1933,2196,1787",0.8965
181,"337,1125,337,1254,461,1254,461,1125",0.8958
181,"378,334,378,448,502,448,502,334",0.8846
181,"1995,2142,1995,2264,2116,2264,2116,2142",0.8781
181,"12,2325,12,2473,184,2473,184,2325",0.8601
181,"1980,1713,1980,1812,2071,1812,2071,1713",0.8458
181,"313,839,313,954,431,954,431,839",0.8387
181,"2008,1204,2008,1345,2149,1345,2149,1204",0.8337
181,"1147,747,1147,883,1290,883,1290,747",0.8225
181,"202,720,202,870,337,870,337,720",0.8072
181,"1282,1086,1282,1219,1417,1219,1417,1086",0.8046
181,"306,455,306,568,432,568,432,455",0.8022
181,"1177,2349,1177,2479,1300,2479,1300,2349",0.7914
181,"2025,1502,2025,1588,2114,1588,2114,1502",0.7881
181,"1986,278,1986,372,2072,372,2072,278",0.7680
181,"167,1380,167,1486,286,1486,286,1380",0.7604
181,"241,1547,241,1641,336,1641,336,1547",0.7501
181,"342,2019,342,2126,456,2126,456,2019",0.7485
181,"1095,1534,1095,1623,1183,1623,1183,1534",0.7291
181,"1043,262,1043,346,1144,346,1144,262",0.7235
181,"1213,1308,1213,1452,1358,1452,1358,1308",0.7014
181,"324,2429,324,2558,454,2558,454,2429",0.7000
181,"35,1898,35,1984,122,1984,122,1898",0.6713
181,"212,1896,212,1983,309,1983,309,1896",0.6214
181,"231,2841,231,2999,397,2999,397,2841",0.5890
181,"2032,63,2032,137,2105,137,2105,63",0.5513
181,"389,60,389,160,491,160,491,60",0.5485
181,"1997,2929,1997,3069,2137,3069,2137,2929",0.5300
181,"191,3008,191,3148,338,3148,338,3008",0.5217
187,"803,2044,803,2160,919,2160,919,2044",0.9650
187,"1991,1969,1991,2129,2143,2129,2143,1969",0.9585
187,"1062,1454,1062,1631,1249,1631,1249,1454",0.9546
187,"1995,147,1995,324,2169,324,2169,147",0.9473
187,"839,1297,839,1473,1035,1473,1035,1297",0.9356
187,"1221,2389,1221,2497,1332,2497,1332,2389",0.9340
187,"2107,803,2107,1037,2331,1037,2331,803",0.9339
187,"2154,1887,2154,2050,2319,2050,2319,1887",0.9256
187,"1915,434,1915,624,2099,624,2099,434",0.9226
187,"998,210,998,358,1142,358,1142,210",0.9199
187,"1993,2158,1993,2307,2136,2307,2136,2158",0.8992
187,"444,2186,444,2302,567,2302,567,2186",0.8959
187,"2143,2303,2143,2459,2294,2459,2294,2303",0.8894
187,"596,2490,596,2608,711,2608,711,2490",0.8891
187,"882,1690,882,1837,1025,1837,1025,1690",0.8877
187,"2313,1374,2313,1502,2422,1502,2422,1374",0.8821
187,"2059,1754,2059,1897,2198,1897,2198,1754",0.8641
187,"1214,1267,1214,1401,1350,1401,1350,1267",0.8517
187,"2148,1177,2148,1320,2300,1320,2300,1177",0.8430
187,"906,631,906,736,1016,736,1016,631",0.8418
187,"34,583,34,700,140,700,140,583",0.8251
187,"2144,551,2144,691,2301,691,2301,551",0.8247
187,"1287,666,1287,793,1408,793,1408,666",0.8238
187,"2183,2094,2183,2241,2325,2241,2325,2094",0.8212
187,"95,446,95,537,180,537,180,446",0.8049
187,"2365,129,2365,232,2469,232,2469,129",0.7796
187,"1190,779,1190,917,1312,917,1312,779",0.7788
187,"1974,2268,1974,2441,2159,2441,2159,2268",0.7721
187,"1061,2231,1061,2415,1231,2415,1231,2231",0.7379
187,"1286,1153,1286,1242,1372,1242,1372,1153",0.7348
187,"1010,1818,1010,1905,1095,1905,1095,1818",0.7275
187,"2213,0,2213,171,2384,171,2384,0",0.6521
187,"690,1004,690,1116,800,1116,800,1004",0.6418
187,"670,480,670,565,761,565,761,480",0.6253
187,"2163,1451,2163,1605,2317,1605,2317,1451",0.6133
187,"463,2483,463,2603,594,2603,594,2483",0.6074
187,"2383,1557,2383,1643,2469,1643,2469,1557",0.5998
187,"1959,1545,1959,1643,2057,1643,2057,1545",0.5827
187,"1231,1598,1231,1672,1317,1672,1317,1598",0.5815
187,"948,2065,948,2323,1191,2323,1191,2065",0.5804
187,"1032,2019,1032,2103,1127,2103,1127,2019",0.5563
187,"1130,664,1130,752,1226,752,1226,664",0.5510
187,"2359,284,2359,366,2447,366,2447,284",0.5418
187,"1737,2245,1737,2324,1808,2324,1808,2245",0.5375
187,"164,2523,164,2687,1206,2687,1206,2523",0.5251
187,"492,2559,492,2679,1030,2679,1030,2559",0.5248
187,"649,2510,649,2611,887,2611,887,2510",0.5147
187,"221,422,221,495,296,495,296,422",0.5102
189,"170,2135,170,2217,250,2217,250,2135",0.7620
189,"2079,1099,2079,1167,2153,1167,2153,1099",0.6964
189,"973,1276,973,1369,1081,1369,1081,1276",0.6459
189,"60,318,60,407,138,407,138,318",0.6201
189,"150,240,150,326,244,326,244,240",0.5363
189,"1696,2317,1696,2378,1759,2378,1759,2317",0.5349
189,"117,2256,117,2325,183,2325,183,2256",0.5164
189,"128,623,128,711,216,711,216,623",0.5156
190,"990,235,990,323,1074,323,1074,235",0.8154
190,"1989,2323,1989,2435,2113,2435,2113,2323",0.6716
190,"1144,1618,1144,1716,1234,1716,1234,1618",0.5625
194,"2153,398,2153,498,2250,498,2250,398",0.7345
198,"2172,839,2172,960,2294,960,2294,839",0.9249
198,"2094,1766,2094,1860,2196,1860,2196,1766",0.6600
198,"1785,685,1785,786,1880,786,1880,685",0.6187
198,"2325,2796,2325,2886,2411,2886,2411,2796",0.6005
198,"0,2590,0,2675,78,2675,78,2590",0.5913
198,"2287,587,2287,667,2386,667,2386,587",0.5287
199,"521,724,521,843,640,843,640,724",0.9066
199,"1006,605,1006,703,1104,703,1104,605",0.8894
199,"941,862,941,967,1048,967,1048,862",0.8473
199,"2282,1014,2282,1091,2362,1091,2362,1014",0.5469
200,"1233,1300,1233,1404,1339,1404,1339,1300",0.6397
200,"885,2308,885,2408,969,2408,969,2308",0.6287
200,"828,2071,828,2157,923,2157,923,2071",0.6203
200,"956,2590,956,2665,1034,2665,1034,2590",0.5166
201,"1386,1989,1386,2224,1618,2224,1618,1989",0.9696
201,"1979,1657,1979,1852,2174,1852,2174,1657",0.9649
201,"1730,687,1730,1049,2164,1049,2164,687",0.9440
